Model,RFFs,Input_data,Train_pearson_r,Valid_pearson_r,hparams,NMLL
Linear,2048,promoters,0.5776421431548605,0.5854624001649826,-0.21373110000000003_-2.0794415,895378.223
Poly,32768,promoters,0.8125311046935423,0.7872067315481648,-0.21373110000000003_-2.3025851,936447.59
ExactQuadratic,8192,promoters,0.8829754353986038,0.8277317615343127,-0.21373110000000003_-2.3025851,NA
Poly,32768,promoters,0.780866711995452,0.7695188418856017,-0.21373110000000003_-2.3025851,936447.59
